aId,rID,keyword1,keyword2,rCorr
E6C1,1,福建土楼,建筑风格,8
E6C1,2,福建土楼,历史文化,9
E6C1,3,建筑风格,历史文化,7
E6C1,4,土楼,方形,6
E6C1,5,土楼,圆形,9
E6C1,6,方形,圆形,5
E6C1,7,圆形土楼,客家传统,8
E6C1,8,圆形土楼 ,圆楼,9
E6C1,9,客家传统,圆楼,7
E6C1,10,土楼内,设施,8
E6C1,11,土楼内,土楼内,7
E6C1,12,设施,生土夯筑,6
E6C1,13,土楼内,建筑构造,9
E6C1,14,土楼内,文化内涵,8
E6C1,15,建筑构造,文化内涵,7
E6C1,16,土楼文化,文化内涵,9
E6C1,17,土楼,独特生活方式,8
E6C1,18,独特生活方式,客家人,9
E6C1,19,土楼文化,客家土楼,7
E6C1,20,生活方式,客家土楼,6
E6C1,21,客家人,土楼建筑,8
E6C1,22,客家土楼,土楼建筑,9
E6C1,23,独特生活方式,客家土楼,7
E6C1,24,客家人,家园重建,8
E6C1,25,客家土楼,单元建筑模式,6
E6C1,26,单元建筑模式,建筑师,5
E6C1,27,客家土楼,历史长河,7
E6C1,28,单元建筑模式,历史长河,5
E6C1,29,土楼人,土楼人心间,9
E6C1,30,土楼,经典,8
E6E1,1,大自然,奇迹,9
E6E1,2,大自然,榜样,5
E6E1,3,大自然,海洋微生物,8
E6E1,4,奇迹,榜样,5
E6E1,5,奇迹,海洋微生物,6
E6E1,6,榜样,海洋微生物,7
E6E1,7,原绿球藻,浮游生物,8
E6E1,8,原绿球藻,太阳能电池板,9
E6E1,9,浮游生物,太阳能电池板,7
E6E1,10,鲍鱼,软体动物,9
E6E1,11,鲍鱼,外壳,5
E6E1,12,软体动物,外壳,8
E6E1,13,蝴蝶,舞蹈,6
E6E1,14,蝴蝶,喷气原理,9
E6E1,15,舞蹈,喷气原理,5
E6E1,16,光纤,通信传媒,9
E6E1,17,光纤,互联网 ,9
E6E1,18,通信传媒 ,互联网,5
E6E1,19,海绵,低等动物,9
E6E1,20,海绵,光纤材料,5
E6E1,21,低等动物,光纤材料,7
E6E1,22,骨针 ,导光性能,9
E6E1,23,骨针,光纤材料,5
E6E1,24,导光性能,光纤材料,9
E6E1,25,绿海藻,共生关系,8
E6E1,26,绿海藻,骨针,5
E6E1,27,共生关系,骨针,8
E6E1,28,进化过程,奇迹,5
E6E1,29,进化过程,敬畏,8
E6E1,30,奇迹,敬畏,9
E6E2,1,智商,勤奋    ,6
E6E2,2,智商,记忆力  ,5
E6E2,3,环境,营养,7
E6E2,4,环境 ,疾病,4
E6E2,5,青少年,学习 ,8
E6E2,6,青少年,记忆力 ,7
E6E2,7,大脑清醒,大脑能量,8
E6E2,8,体育活动,氧气,7
E6E2,9,体育活动,学习,6
E6E2,10,光线,视力,7
E6E2,11,课间休息,室外,8
E6E2,12,课间休息,音乐,6
E6E2,13,分贝,随身听,4
E6E2,14,大脑结构,氧气供应,7
E6E2,15,大脑结构,营养供应,8
E6E2,16,胡萝卜,菠萝,7
E6E2,17,胡萝卜,蔬菜,6
E6E2,18,营养,疾病,5
E6E2,19,春秋两季,冬天,8
E6E2,20,春秋两季,夏天,7
E6E2,21,室外,音乐 ,6
E6E2,22,室外,分贝,5
E6E2,23,胡萝卜,大脑清醒,6
E6E2,24,大脑清醒,大脑结构,7
E6E2,25,营养供应,胡萝卜,7
E6E2,26,营养供应,菠萝,6
E6E2,27,气候温度,营养,6
E6E2,28,呼吸,氧气,8
E6E2,29,光线,光线,9
E6E2,30,胡萝卜,气候温度,5
E5C3,1,本文没有评分题,请按“下一步”,0
N5A1,1,本文没有评分题,请按“下一步”,0
N5A2,1,钓鱼旅行,叔叔,1
N5A2,2,钓鱼旅行,树林,1
N5A2,3,钓鱼旅行,草滩,1
N5A2,4,渔竿,叔叔,1
N5A2,5,渔竿,草滩,1
N5A2,6,叔叔,树林,1
N5A2,7,叔叔,草滩,1
N5A2,8,树林 ,草滩,1
N5A2,9,初秋,温煦,1
N5A2,10,初秋,树叶,1
N5A2,11,初秋,小狗鱼,1
N5A2,12,温煦 ,树叶,1
N5A2,13,温煦, 小狗鱼,1
N5A2,14,树叶,小狗鱼,1
N5A2,15,草滩 ,小狗鱼,1
N5A2,16,草滩,钓鱼人,0
N5A2,17,草滩,手臂,0
N5A2,18,阳光,小狗鱼,0
N5A2,19,小狗鱼,诱饵,0
N5A2,20,小狗鱼,鱼线,0
N5A2,21,诱饵,鱼线,0
N5A2,22,鱼线,钓鱼人,0
N5A2,23,鱼线,手臂,0
N5A2,24,钓鱼人,手臂,0
N5A2,25,初秋,树叶,1
N5A2,26,初秋,花儿,0
N5A2,27,树叶,花儿,0
N5A2,28,花儿,动静,0
N5A2,29,动静,失望,0
N5A2,30,再试,深水,1
N6C2,1,佛罗里达州,杰克逊维尔市,1
N6C2,2,杰克逊维尔市,儿童之家孤儿院,1
N6C2,3,儿童之家孤儿院,公园大街,1
N6C2,4,公园大街,孤独,1
N6C2,5,孤独,内心,1
N6C2,6,内心,渴望,1
N6C2,7,渴望,机械修理店,1
N6C2,8,机械修理店,强壮男人,1
N6C2,9,强壮男人,威士忌,1
N6C2,10,威士忌,钱,1
N6C2,11,钱,意外感觉,1
N6C2,12,意外感觉,公共汽车站,1
N6C2,13,公共汽车站, 不舒服,1
N6C2,14,不舒服,纸袋,1
N6C2,15,纸袋,谢谢,1
N6C2,16,谢谢,肩膀,0
N6C2,17,肩膀,犯罪感,0
N6C2,18,犯罪感,干零活,0
N6C2,19,干零活,金属片,0
N6C2,20,金属片,鲜血,1
N6C2,21,鲜血,绷带,1
N6C2,22,绷带,小办公室,1
N6C2,23,小办公室,账,1
N6C2,24,账,小偷,0
N6C2,25,小偷,孩子,1
N6C2,26,孩子,正当手段,0
N6C2,27,正当手段,里维兹先生,0
N6C2,28,里维兹先生,午餐,0
N6C2,29,午餐,20块钱,1
N6C3,1,玛格丽特,小镇,0
N6C3,2,玛格丽特,家庭教育,1
N6C3,3,玛格丽特,力争一流,1
N6C3,4,小镇,家庭教育,0
N6C3,5,小镇,父亲,0
N6C3,6,家庭教育, 父亲,1
N6C3,7,家庭教育,力争一流,0
N6C3,8,父亲,力争一流,1
N6C3,9,力争一流,永远坐在前排,1
N6C3,10,不能落后,决心,0
N6C3,11,不能落后,必胜的信念,0
N6C3,12,决心,信心,1
N6C3,13,决心, 必胜的信念1,1
N6C3,14,学习,拼搏精神,0
N6C3,15,学习,拉丁文,0
N6C3,16,拼搏精神,永远一往无前,1
N6C3,17,拼搏精神,拉丁文,0
N6C3,18,永远一往无前,成绩名列前茅,0
N6C3,19,教育,学校活动,0
N6C3,20,演讲,学校活动,1
N6C3,21,学校活动,学生,1
N6C3,22,优秀,佼佼者,1
N6C3,23,佼佼者,校长,0
N6C3,24,政坛,保守党领袖,0
N6C3,25,政坛 ,铁娘子,0
N6C3,26,保守党领袖,女首相,1
N6C3,27,女首相, 铁娘子,1
N6C3,28,人生态度,理想与行动,0
